experiment_segment,action,customers,retained,action_cost,retention_rate_smoothed,control_rate,incremental_retention
baixo_engajamento,cashback_pix,1082,931,12.0,0.8591160220994475,0.8184300341296928,0.040685987969754644
baixo_engajamento,contato_humano,1073,887,8.5,0.8254410399257196,0.8184300341296928,0.007011005796026759
baixo_engajamento,controle,1461,1197,0.0,0.8184300341296928,0.8184300341296928,0.0
baixo_engajamento,educacao,1089,1002,0.45,0.918572735590119,0.8184300341296928,0.10014270146042614
baixo_engajamento,revisao_limite,1085,894,1.8,0.82277318640955,0.8184300341296928,0.004343152279857154
falha_de_atendimento,cashback_pix,629,523,12.0,0.8293838862559242,0.7879548306148055,0.04142905564111865
falha_de_atendimento,contato_humano,583,545,8.5,0.9318568994889267,0.7879548306148055,0.14390206887412116
falha_de_atendimento,controle,793,626,0.0,0.7879548306148055,0.7879548306148055,0.0
falha_de_atendimento,educacao,659,559,0.45,0.8461538461538461,0.7879548306148055,0.05819901553904061
falha_de_atendimento,revisao_limite,574,490,1.8,0.8512110726643599,0.7879548306148055,0.06325624204955438
friccao_no_app,cashback_pix,649,561,12.0,0.8621745788667687,0.7911392405063291,0.07103533836043963
friccao_no_app,contato_humano,560,522,8.5,0.9290780141843972,0.7911392405063291,0.13793877367806806
friccao_no_app,controle,786,623,0.0,0.7911392405063291,0.7911392405063291,0.0
friccao_no_app,educacao,600,491,0.45,0.8162251655629139,0.7911392405063291,0.0250859250565848
friccao_no_app,revisao_limite,561,472,1.8,0.8389380530973451,0.7911392405063291,0.04779881259101604
frustracao_com_credito,cashback_pix,797,666,12.0,0.8339575530586767,0.8200913242009132,0.013866228857763452
frustracao_com_credito,contato_humano,808,669,8.5,0.8263546798029556,0.8200913242009132,0.006263355602042386
frustracao_com_credito,controle,1091,896,0.0,0.8200913242009132,0.8200913242009132,0.0
frustracao_com_credito,educacao,757,628,0.45000000000000007,0.8278580814717477,0.8200913242009132,0.0077667572708344235
frustracao_com_credito,revisao_limite,735,690,1.8,0.9364005412719891,0.8200913242009132,0.11630921707107589
perda_de_renda,cashback_pix,595,555,12.0,0.9298831385642737,0.8029612756264237,0.12692186293785002
perda_de_renda,contato_humano,687,573,8.5,0.8321273516642547,0.8029612756264237,0.029166076037830946
perda_de_renda,controle,874,703,0.0,0.8029612756264237,0.8029612756264237,0.0
perda_de_renda,educacao,664,547,0.45,0.8218562874251497,0.8029612756264237,0.01889501179872599
perda_de_renda,revisao_limite,618,526,1.8,0.8488745980707395,0.8029612756264237,0.045913322444315785
pressao_financeira,cashback_pix,599,491,12.0,0.8175787728026535,0.8268292682926829,-0.009250495490029431
pressao_financeira,contato_humano,579,489,8.5,0.8421955403087479,0.8268292682926829,0.015366272016064997
pressao_financeira,controle,816,676,0.0,0.8268292682926829,0.8268292682926829,0.0
pressao_financeira,educacao,618,570,0.45,0.9196141479099679,0.8268292682926829,0.09278487961728499
pressao_financeira,revisao_limite,578,497,1.8000000000000003,0.8573883161512027,0.8268292682926829,0.030559047858519817
