decile,customers,predicted_risk,observed_churn,churners,lift
1,5000,0.6766849020737612,0.6752,3376,8.714506969540528
2,5000,0.01758697821349046,0.0186,93,0.24006195147134746
3,5000,0.01294241423946637,0.0162,81,0.2090862157976252
4,5000,0.010811157398837841,0.0108,54,0.13939081053175015
5,5000,0.009429516141129368,0.0112,56,0.14455343314403718
6,5000,0.008289384798864614,0.012,60,0.15487867836861127
7,5000,0.007456368091922883,0.0064,32,0.08260196179659268
8,5000,0.0068327817712975,0.0098,49,0.12648425400103253
9,5000,0.006011197267766978,0.0084,42,0.10841507485802789
10,5000,0.004669253095415398,0.0062,31,0.08002065049044915
